Synset('november.n.01')	november denver nov
Synset('silver.n.01')	equations ag
Synset('spread.n.05')	spreads scales john activation table spread
Synset('valuable.a.01')	set helpful valuable
Synset('presidential.a.01')	nsf presidential supported
Synset('fire.n.04')	fires fire
Synset('optics.n.01')	appl networks optics
Synset('formalism.n.02')	formalism learning sentation representation mathematical
Synset('disorderliness.n.01')	disorders disorder 2000 matrices
Synset('native.n.01')	trials native
Synset('roll.v.14')	rolling roll rolls
Synset('residue.n.01')	residues residue
Synset('programming.n.02')	conventional generated variable dynamic programming
Synset('problem.n.02')	real-world general random artificial problem practical ence solve difficult specific problems
Synset('linear.a.01')	linear solving 15 dimensional solutions venkatesh 1990 piecewise additive vectors 600 intermediate 50 introduction
Synset('displacement.n.05')	displacements displacement
Synset('show.v.01')	exhibited data exhibiting recognition network vectors amplitude shown presented arguments presenting exhibit demonstrated present showing presents
Synset('combination.n.06')	combinations optimal due response combination
Synset('over.n.01')	cheaper triples constant coherent run occurs trial summation number shown 90 consequences spatial directly results write algorithm method lower spreading reduced distributions million directions median spikes left leads 128 processing indication carry epochs summed average classify integrating activity swept sum error uniform averaged factor discriminations gi figure expression ing advantage change 0.01 control procedure improvement noisy mounted versus predictions generally controlled 100 0.1 uncorrelated cells polynomial response firing ratio
Synset('synthesize.v.01')	synthesized synthesizing synthesize results
Synset('gate.v.03')	gated gating voltage
Synset('simplify.v.01')	figure shows simplified regression effectively section simplifies simplify simplifying
Synset('word.n.01')	words word
Synset('equal.a.01')	equal average
Synset('xian.n.01')	m.a sian compared
Synset('failure.n.07')	failures failure
Synset('unction.n.04')	system energy
Synset('architecture.n.03')	architectures functional inference perturbation networks choosing multi-layer minimal current problem spacing paper parallel chunking xor popular architecture m.a figure practical sets ans alternative improvement vision easier fixed fields
Synset('make.v.03')	par bins figure regions gene created conclusions makes networks divider creating create creates stops
Synset('decide.v.03')	decided decides decide
Synset('surprise.v.02')	surprise surprising
Synset('synchronize.v.06')	synchronized figure initial added synchronizing synchronizes 0.6 cochlear inhibition shifts choppers synchronize
Synset('mound.n.04')	hill moore annealing
Synset('recognition.n.02')	database identification recognition learning
Synset('transmitter.n.03')	transmitters sender transmitter
Synset('concern.n.01')	clustering concerns concern
Synset('family.n.06')	family families
Synset('register.n.04')	directions stage shift registers register
Synset('sensitivity.n.02')	normal searches orientation original sets depends fig subjects difficult sensitivities speed uninformative signals measure directional estimate sensitivity greatly direction
Synset('float.v.01')	figure grating drifting drifts floating creates relationship drift
Synset('gradual.n.01')	gradual show degrade
Synset('whiten.v.01')	whitened surround
Synset('hill.n.01')	hill characteristic
Synset('orlando.n.01')	morgan orlando
Synset('substitute.n.02')	substitutes substitute
Synset('event.n.01')	event events
Synset('martin.n.05')	connor 422 424 martin douglas
Synset('tracker.n.01')	trackers made ies tracker
Synset('official.n.01')	official authors
Synset('author.v.01')	author provided acknowledgements acknowledgments pur object acknowledgment authors
Synset('engine.n.04')	engine engines
Synset('sleeve.n.01')	search angle model arms arm
Synset('sensory_nerve.n.01')	hippocampal afferents asymmetries afferent stone
Synset('posterior.a.01')	app 199 level plot markov 0.99 posterior deliver clustering 95
Synset('combination.n.05')	primitives combinations linear combination problems
Synset('technique.n.01')	nn employ compare k-d circuit regularization hmm technique monte learning matrix network observed problem design complex implemented understanding net map earning algorithm stimulation architecture established similar maximisation set robust ensure efficient gradient electrophysiological clear pseudoinverse engineering constrained integrate unsupervised adopt techniques adjustment applicability theory hill-climbing problems
Synset('quantize.v.02')	figure quantized quantize implement store quantizing
Synset('manufacture.v.01')	bayesian constructing method theoretical sets constructed construct matrix constructs speed fabricated properly input 695 search systems array variable manufacturing circuitry circuits
Synset('precede.v.04')	cities precede precedes preceding preceded units discussion
Synset('stock.n.01')	bear stock recent beta stocks
Synset('run.n.08')	100 run learning runs long
Synset('just.a.01')	circuit squares magnitude threshold scarce potential space drift
Synset('phoneme.n.01')	phoneme phonemes
Synset('gold.n.03')	gold au 282 enhance
Synset('erase.v.03')	deleting deleted delete
Synset('success.n.03')	reason successes success quadratic
Synset('duplicator.n.01')	image stop
Synset('graph.v.01')	chart graph
Synset('article.v.01')	articles article
Synset('communications.n.01')	digital communications private technical neural reasoning york cross-validation networks transactions classification bell
Synset('rate.v.01')	rankings ordering rank ranked rules ranking
Synset('potassium.n.01')	gated potassium hyperpolarizing ks somatic dendritic activated
Synset('arrangement.n.02')	arrangement spatial
Synset('interact.v.01')	interacting interact interacts
Synset('integrate.v.04')	integrating integrates integrate integrated
Synset('quantize.v.01')	top quantized
Synset('helsinki.n.01')	helsinki team
Synset('danish.n.01')	danish funded
Synset('aim.n.03')	aims aim
Synset('claim.v.03')	claimed claims claim
Synset('minimize.v.01')	minimize minimizing minimizes
Synset('visualize.v.03')	analyzing visualized visualize visualizing movement
Synset('sentence.n.01')	sentence sentences
Synset('salesman.n.01')	salesman traveling
Synset('dimensionality.n.01')	poorly high exploration dimensionality principles increase 140
Synset('pose.v.03')	pose poses posed
Synset('information.n.01')	adv proc info
Synset('permissible.a.01')	allowable permissible representation
Synset('pound.n.01')	300 avg shown 16 fig lb ure 20
Synset('decompose.v.01')	decomposes decomposed decompose decomposing
Synset('current.a.01')	potassium threshold cell plausible integrated output total current stabilizing bridle bias cat scatter specificity model projection weighted estimates algorithm 35 figure calcium 15 offset depolarizing lower lowering synapse eye input conditioning difference diode maximum fixed updated epochs
Synset('reading.n.03')	indications readings select individual systems reading time-delay circuitry indication vlsi addison-wesley
Synset('lie.v.01')	lie lies
Synset('question.n.01')	i.e statistical inquiry query networks queries requires
Synset('magnetic_disk.n.01')	disk disc
Synset('define.v.02')	concept define defining defined defines
Synset('goal.n.03')	inability ing constructing goal reaches meter reach alternative start reaching miyata composite occasionally fixed generate goals dimensions
Synset('relate.v.03')	relate related relating relates
Synset('tap.v.06')	tapped tap goal data cy taps section 10
Synset('visible.a.01')	overfitting visible responses body
Synset('compatible.a.02')	compatible ea
Synset('matter_to.v.01')	interest interesting interested
Synset('relate.v.04')	interrelated relate related relating relates
Synset('obey.v.01')	obey obeys obeying
Synset('assist.v.02')	assisted assist
Synset('substitute.n.01')	substitutes replacement substitute
Synset('listening.n.01')	listening 1958
Synset('shrinking.n.01')	shrinking quantitative shrinkage
Synset('focus.n.06')	work consistently focuses focus ability conditions
Synset('iterate.v.02')	iterating iterates regression iterated iterate
Synset('vector.n.03')	transmitters transmitter
Synset('hardware.n.03')	digital small designers tradeoffs neural finally require synaptic network electronic implement net hardware
Synset('nitrogen.n.01')	ns 80
Synset('assembly.n.04')	mode assembly
Synset('radius.n.01')	small rs radii real-time ek category radius bursting frequency
Synset('inject.v.04')	injected term levels
Synset('assets.n.01')	assets turn
Synset('compare.v.01')	cue compare data restricted complex comparing learning error compares compared
Synset('wish.n.02')	similar wishes
Synset('die.n.01')	die dice
Synset('silicon.n.01')	48 data mead 0.00 rogers states running 0.1 act silicon si undesired sis lazzaro
Synset('trap.v.04')	trapped trapping
Synset('handwriting.n.02')	vi handwriting human
Synset('treaty.n.01')	pact accord
Synset('cross.n.03')	se 500 spectrum cross hall dip majority crosses
Synset('rewrite.v.02')	rewriting rewritten rewrite
Synset('extent.n.01')	extent tuning
Synset('sir.n.02')	inverse initial reduction sir
Synset('limitation.n.02')	limitation hardware limitations
Synset('deviation.n.02')	standard equal deviations input death values processing binomial deviation quantitatively order
Synset('abstraction.n.01')	abstracts abstraction abstract abstractions
Synset('psychoanalysis.n.01')	based data spectrographic pattern acoustic simple transactions analysis scene analyses performance feature discriminant continuous geometric fourier communication 20
Synset('surpass.v.02')	outgoing outperform exceeds exceeded exceeding method methods outperforming echo quantum procedure grouping local outperforms mode outperformed eve versions exceed classifier examined starts gaussian significantly
Synset('prognosis.n.01')	random regression forecast extremes forecasts
Synset('joint.n.01')	joint joints articulation cun approach
Synset('deep.a.03')	deep deepest bits deeper
Synset('visualize.v.02')	visualized visualize
Synset('measuring_stick.n.01')	measures measure
Synset('plain.n.01')	plain champaign
Synset('trigger.n.03')	induction initiation trigger triggers
Synset('rotate.v.04')	rotating rotate rotates rotated
Synset('question.n.02')	question questions physiological open essential
